Estado,Nombre,Categoria,Tipo,Region,Cadenas,Entrada,Acceso,Web,Descripcion,Por que,Fuentes
"En el radar","ADDX","Acciones y capital privado","Marketplace","Asia-Pacífico","Varias","Alto","Acreditado","https://addx.co","Fondos de capital riesgo y private equity troceados para inversores acreditados.","Licencia de mercado reconocido del MAS de Singapur; accionistas de referencia: la bolsa SGX y el fondo estatal Temasek.",""
"En el radar","Archax","Acciones y capital privado","Marketplace","Reino Unido","Varias","Alto","Institucional","https://archax.com","Mercado regulado de valores digitales en Londres que reúne emisión, negociación y custodia bajo la misma licencia. Cuidado con los clones: la FCA tiene avisos publicados sobre webs que la suplantan, y el dominio válido es archax.com.","Autorizada y supervisada por la FCA británica con el número 838656, como exchange, bróker y custodio, e inscrita en su registro de criptoactivos. Tiene permiso para operar un sistema multilateral de negociación, no solo para intermediar.",""
"En el radar","ARTEX Global Markets","Materias primas","Marketplace","Liechtenstein","Mercado regulado (MTF)","Alto","Acreditado","https://www.artexgm.com","Mercado regulado de acciones sobre obras de arte: cada cuadro se trocea en acciones de 100 €. Ojo: el token «ARTEX» de BNB Chain no tiene relación con esta plataforma.","Licencia de sistema multilateral de negociación (MTF) bajo MiFID II del regulador de Liechtenstein; SIX aporta compensación y liquidación.",""
"En el radar","Backed Finance","Acciones y capital privado","Emisor","Suiza","Ethereum, Base, Gnosis","Bajo","Minorista","https://backed.fi","Réplicas tokenizadas de acciones y bonos cotizados, activas desde 2021.","Emisor suizo con el activo real depositado 1:1 en custodia de un tercero y atestaciones públicas de respaldo.",""
"En el radar","Blocksquare","Inmobiliario","Infraestructura","Unión Europea","Ethereum","No aplica","Empresas","https://blocksquare.io","Tecnología para que una inmobiliaria tokenice sus propios activos con respaldo registral.","Vincula cada token a una anotación en el registro de la propiedad, no solo a un contrato inteligente.",""
"En el radar","Centrifuge","Crédito privado","Infraestructura","Global","Ethereum, Base","Alto","Institucional","https://centrifuge.io","Financiación de carteras de préstamos y facturas con garantía fuera de cadena. Tuvo impagos por 5,8 M$ en 2023 y reforzó su modelo después.","Una de las tres plataformas que concentran dos tercios del crédito privado tokenizado; estructura de tramos senior/junior.",""
"En el radar","Courtyard","Materias primas","Marketplace","EE. UU.","Polygon","Bajo","Minorista","https://courtyard.io","Cromos y coleccionables físicos (cartas Pokémon, deportivas) tokenizados. Líder por volumen semanal en 2026.","El objeto físico se guarda en cámara asegurada y el token es canjeable por él en cualquier momento: respaldo comprobable.",""
"En el radar","Figure","Crédito privado","Emisor","EE. UU.","Provenance","Alto","Institucional","https://figure.com","Mercado de capitales nativo en blockchain para crédito privado y activos tokenizados, con préstamos hipotecarios (HELOC) en su propia cadena.","Cotiza en Nasdaq (FIGR): cuentas auditadas, información pública trimestral y supervisión de la SEC como emisor.",""
"En el radar","Fireblocks","Infraestructura","Infraestructura","Global","Varias","No aplica","Empresas","https://fireblocks.com","El motor de custodia y emisión detrás de decenas de proyectos institucionales de tokenización.","Custodia institucional con seguros y certificaciones de seguridad, usada por bancos y gestoras de primer nivel.",""
"En el radar","Franklin Templeton","Tesoro y fondos","Emisor","EE. UU.","Stellar, Varias","Bajo","Minorista","https://franklintempleton.com","Fondo monetario de deuda pública con el registro de partícipes llevado en cadena desde 2021.","Gestora tradicional con décadas de historial y fondo registrado ante la SEC. La vía más conservadora para empezar.",""
"En el radar","INX","Acciones y capital privado","Marketplace","EE. UU.","Ethereum","Bajo","Minorista","https://inx.co","Plataforma regulada de valores digitales con negociación secundaria abierta a minoristas.","Bróker-dealer registrado ante la SEC y miembro de FINRA; su matriz cotiza en Nasdaq.",""
"En el radar","Lofty","Inmobiliario","Marketplace","EE. UU.","Algorand","Bajo","Minorista","https://lofty.ai","Vivienda unifamiliar troceada desde 50 $, con reparto de renta diario y voto de los inversores en cada propiedad.","Estructura de LLC por inmueble con oferta registrada; una de las pocas vías reales de entrada minorista al inmobiliario tokenizado.",""
"En el radar","Maple Finance","Crédito privado","Emisor","Global","Ethereum, Solana","Alto","Institucional","https://maple.finance","El mayor actor del crédito privado tokenizado: cerró el primer semestre de 2026 con 4.600 M$ gestionados (+81 % interanual) y 1.900 M$ en préstamos vivos.","Cifras auditadas y publicadas cada trimestre en formato de resultados; crédito institucional integrado con Robinhood y Kraken.",""
"En el radar","Midas","Tesoro y fondos","Emisor","Unión Europea","Ethereum","Medio","Minorista","https://midas.app","Certificados tokenizados sobre estrategias de renta fija. Levantó 50 M$ con Franklin Templeton y Coinbase Ventures.","Emite bajo folleto aprobado en la Unión Europea, lo que obliga a información periódica y responsabilidad del emisor.",""
"En el radar","Ondo Finance","Tesoro y fondos","Emisor","EE. UU.","Ethereum, Solana","Alto","Acreditado","https://ondo.finance","Exposición a deuda pública de EE. UU. y, desde 2026, a ETFs de Franklin Templeton tokenizados.","La mayor plataforma de valores tokenizados por volumen, con los activos subyacentes en custodia de gestoras reguladas.",""
"En el radar","OpenEden","Tesoro y fondos","Emisor","Asia-Pacífico","Ethereum, Arbitrum","Alto","Institucional","https://openeden.com","Letras del Tesoro de EE. UU. envueltas en un token de suscripción y reembolso, para clientes profesionales.","Estructura de fondo con calificación crediticia de agencia y reservas en letras del Tesoro custodiadas por un tercero.",""
"En el radar","Pax Gold","Materias primas","Emisor","EE. UU.","Ethereum","Bajo","Minorista","https://paxos.com/paxgold","Cada token representa una onza concreta de oro asignada en cámaras de Londres, identificable por número de lingote.","Emitido por Paxos bajo supervisión del regulador bancario de Nueva York (NYDFS), con atestaciones mensuales del oro asignado.",""
"En el radar","Reental","Inmobiliario","Emisor","España","Varias","Bajo","Minorista","https://reental.co","Proyectos inmobiliarios en España y Latinoamérica desde 100 €. La opción más accesible para un inversor español.","Historial de proyectos completados y devueltos, con cientos de reseñas públicas verificadas de inversores.",""
"En el radar","Republic","Acciones y capital privado","Marketplace","EE. UU.","Varias","Bajo","Minorista","https://republic.com","Mercados privados troceados desde importes pequeños: empresas sin cotizar, fondos, cine, deporte y arte. Importante: sus Mirror Tokens no son acciones de la empresa que replican, sino pagarés de la propia Republic que pagan solo si llega una salida a bolsa o una compra.","Opera con entidades registradas y supervisadas en EE. UU.: OpenDeal Portal LLC como portal de financiación ante la SEC y FINRA desde 2016, y OpenDeal Broker LLC como bróker-dealer miembro de FINRA y SIPC.",""
"En el radar","Securitize","Tesoro y fondos","Infraestructura","EE. UU.","Varias","Alto","Institucional","https://securitize.io","La infraestructura sobre la que las grandes gestoras sacan sus fondos a la cadena. El nombre más institucional del sector.","Agente de transferencia registrado ante la SEC. Es quien emite y administra el fondo tokenizado BUIDL de BlackRock.",""
"En el radar","Spiko","Tesoro y fondos","Emisor","Unión Europea","Varias","Bajo","Empresas","https://spiko.io","Fondos en euros y dólares pensados para la tesorería de empresas, con reembolso diario.","Fondos monetarios autorizados y supervisados por la AMF, el regulador financiero francés. Marco europeo completo.",""
"En el radar","Superstate","Tesoro y fondos","Emisor","EE. UU.","Ethereum","Alto","Acreditado","https://superstate.co","Fondos de deuda pública con las participaciones anotadas directamente en cadena.","Fondos estadounidenses registrados con administrador y auditor independientes; fundada por un antiguo responsable de Compound.",""
"En el radar","Swarm","Acciones y capital privado","Marketplace","Unión Europea","Polygon","Bajo","Minorista","https://swarm.com","Acciones y bonos tokenizados negociables dentro del marco regulatorio alemán.","Opera bajo licencia de intermediación financiera de BaFin, el regulador alemán, con respaldo 1:1 verificable.",""
"En el radar","Taurus","Infraestructura","Infraestructura","Suiza","Varias","No aplica","Empresas","https://taurushq.com","Custodia y emisión de valores digitales para banca, con la exigencia de auditoría del sector bancario.","Proveedor suizo de custodia para bancos regulados, con despliegues verificables en entidades europeas.",""
"En el radar","Tokeny","Infraestructura","Infraestructura","Unión Europea","Varias","No aplica","Empresas","https://tokeny.com","La capa de cumplimiento normativo que usan decenas de emisores institucionales.","Autora del estándar ERC-3643, hoy la referencia del sector para tokens con reglas de cumplimiento incorporadas.",""
"En el radar","tZERO","Acciones y capital privado","Marketplace","EE. UU.","Varias","Bajo","Minorista","https://tzero.com","El mercado secundario de referencia en EE. UU. para valores emitidos en cadena.","Opera un sistema alternativo de negociación (ATS) autorizado por la SEC y supervisado por FINRA.",""
"Descartada","Domoblock","","","","","","","","","Sin supervisión: La propia plataforma declara que no está supervisada por la CNMV, que no es una Empresa de Servicios de Inversión y que sus productos no son valores negociables. Antes sus emisiones pasaban por una ESI autorizada; dejó de ser así a partir del proyecto DOMO-VLC-4.","https://redinversora.com/recursos/inversion-alternativa/domoblock | https://todocrowdlending.com/domoblock/"
"Descartada","Goldfinch","","","","","","","","","Cierre aprobado: En junio de 2026 la comunidad aprobó el cierre de Goldfinch Prime. Quedan más de 50 M$ sin devolver en los fondos de prestatarios y solo se ha recuperado en torno al 30 % del capital: de ocho prestatarios, dos en impago y seis en reestructuración.","https://www.theblock.co/post/405825/goldfinch-set-shutter-prime-community-vote-backs-wind-down-proposal | https://thedefiant.io/news/defi/goldfinch-finance-winds-down-depositors-report-50m-defaults"
"Descartada","RealT","","","","","","","","","En liquidación: Detroit la demandó junto a sus 165 sociedades por más de 400 viviendas con infracciones, en la mayor demanda por insalubridad de la historia de la ciudad. Un juez le prohibió cobrar alquileres en las no conformes y le ordenó reparar. En julio de 2026 la propia empresa anunció liquidación voluntaria y la venta de sus más de 700 inmuebles en Detroit.","https://detroitmi.gov/news/city-scores-major-win-tenants-living-troubled-real-token-properties-are-subject-sweeping-lawsuit | https://www.bridgedetroit.com/detroit-sues-blockchain-real-estate-firm/ | https://www.bridgedetroit.com/real-token-detroit-rent-repairs/"
"Descartada","Toucan Protocol","","","","","","","","","Registro bloqueado: El bloqueo no es suyo sino del registro: Verra prohibió en 2022 tokenizar créditos ya retirados, y tanto Verra como el American Carbon Registry suspendieron la tokenización desde sus registros. Verra estudia un estado «inmovilizado» que la permitiría, todavía sin resolver. Toucan respaldó públicamente la decisión.","https://www.spglobal.com/commodity-insights/en/news-research/latest-news/energy-transition/052522-as-verra-halts-tokenization-of-carbon-credits-toucan-vows-to-keep-web3-ethos-alive | https://carboncredits.com/verra-suspension-carbon-credits-proposes-immobilizing-credits/ | https://blog.toucan.earth/response-to-verras-announcement/"
